icao,delivery,ground,tower,departure,approach,center
KBWG,\N,\N,\N,\N,\N,MEM_CTR
KBWI,BWI_DEL,BWI_GND,BWI_TWR,\N,PCT_APP,DC_CTR
KBWP,\N,\N,\N,\N,\N,MSP_CTR
KBXA,\N,\N,\N,\N,\N,HOU_CTR
KBXK,\N,\N,\N,\N,PHX_APP,ABQ_CTR
KBXM,\N,\N,\N,\N,\N,BOS_CTR
KBYH,\N,\N,\N,\N,MEM_APP,MEM_CTR
KBYI,\N,\N,\N,\N,TWF_APP,SLC_CTR
KBYS,\N,\N,\N,\N,\N,LAX_CTR
KBYY,\N,\N,\N,\N,I90_APP,HOU_CTR
KBZN,\N,BZN_GND,BZN_TWR,\N,BZN_APP,SLC_CTR
KCAD,\N,\N,\N,\N,\N,MSP_CTR
KCAE,CAE_DEL,CAE_GND,CAE_TWR,\N,CAE_APP,JAX_CTR
KCAG,\N,\N,\N,\N,\N,DEN_CTR
KCAK,\N,CAK_GND,CAK_TWR,\N,\N,\N
KCAO,\N,\N,\N,\N,ABQ_APP,\N
KCAR,\N,\N,\N,\N,\N,BOS_CTR
KCBF,\N,\N,\N,\N,LNK_APP,\N
KCBK,\N,\N,\N,\N,\N,DEN_CTR
KCBM,\N,CBM_GND,CBM_TWR,\N,CBM_APP,MEM_CTR
KCCB,\N,\N,\N,\N,BUR_APP,LAX_CTR
KCCR,\N,CCR_GND,CCR_TWR,\N,SUU_APP,OAK_CTR
KCDA,\N,\N,\N,\N,ACK_APP,\N
KCDH,\N,\N,\N,\N,LIT_APP,\N
KCDN,\N,\N,\N,\N,SSC_APP,\N
KCDR,\N,\N,\N,\N,\N,DEN_CTR
KCDS,\N,\N,\N,\N,\N,FTW_CTR
KCDW,\N,\N,\N,LGA_DEP,JFK_APP,NY_CTR
KCEC,\N,\N,\N,\N,\N,SEA_CTR
KCEU,\N,\N,\N,\N,GSP_APP,ATL_CTR
KCEW,\N,\N,\N,\N,VPS_APP,JAX_CTR
KCEY,\N,\N,\N,\N,\N,MEM_CTR
KCEZ,\N,\N,\N,\N,\N,DEN_CTR
KCFD,\N,\N,\N,\N,I90_APP,HOU_CTR
KCFT,\N,\N,\N,\N,PHX_APP,ABQ_CTR
KCGE,\N,\N,\N,\N,NHK_APP,DC_CTR
KCGF,\N,CGF_GND,CGF_TWR,\N,CLE_APP,\N
KCGI,\N,CGI_GND,CGI_TWR,\N,MEM_APP,MEM_CTR
KCGS,\N,\N,\N,\N,PCT_APP,DC_CTR
KCGZ,\N,\N,\N,\N,PHX_APP,ABQ_CTR
KCHA,CHA_DEL,CHA_GND,CHA_TWR,\N,CHA_APP,ATL_CTR
KCHK,\N,\N,\N,\N,OKC_APP,FTW_CTR
KCHO,\N,CHO_GND,CHO_TWR,\N,RIC_APP,DC_CTR
KCHS,CHS_DEL,CHS_GND,CHS_TWR,\N,CHS_APP,JAX_CTR
KCIC,\N,\N,\N,\N,\N,OAK_CTR
KCID,CID_DEL,CID_GND,CID_TWR,\N,CID_APP,CHI_CTR
KCIN,\N,\N,\N,\N,\N,MSP_CTR
KCIR,\N,\N,\N,\N,MEM_APP,MEM_CTR
KCIU,\N,\N,\N,\N,\N,TOR_CTR
KCKA,\N,\N,\N,\N,\N,FTW_CTR
KCKB,\N,CKB_GND,CKB_TWR,\N,\N,\N
KCKM,\N,\N,\N,\N,MEM_APP,MEM_CTR
KCKN,\N,\N,\N,\N,RDR_APP,\N
KCLE,CLE_DEL,CLE_GND,CLE_TWR,\N,CLE_APP,\N
KCLI,\N,\N,\N,\N,GRB_APP,\N
KCLK,\N,\N,\N,\N,\N,FTW_CTR
KCLL,\N,CLL_GND,CLL_TWR,\N,I90_APP,HOU_CTR
KCLM,\N,\N,\N,\N,NUW_APP,SEA_CTR
KCLS,\N,\N,\N,\N,SEA_APP,SEA_CTR
KCLT,CLT_DEL,CLT_GND,CLT_TWR,\N,CLT_APP,ATL_CTR
KCLW,\N,\N,\N,\N,TPA_APP,\N
KCMH,CMH_DEL,CMH_GND,CMH_TWR,\N,CMH_APP,IND_CTR
KCMI,CMI_DEL,CMI_GND,CMI_TWR,\N,CMI_APP,CHI_CTR
KCMX,\N,\N,\N,\N,\N,MSP_CTR
KCMY,\N,\N,\N,\N,VOK_APP,\N
KCNH,\N,\N,\N,\N,\N,BOS_CTR
KCNO,\N,\N,\N,\N,BUR_APP,LAX_CTR
KCNW,\N,\N,\N,\N,REG_APP,\N
KCNY,\N,\N,\N,\N,\N,DEN_CTR
KCOD,\N,\N,\N,\N,\N,SLC_CTR
KCOE,\N,\N,\N,\N,GEG_APP,SEA_CTR
KCOF,COF_DEL,COF_GND,COF_TWR,\N,MCO_APP,JAX_CTR
KCOI,\N,\N,\N,\N,MCO_APP,\N
KCOM,\N,\N,\N,\N,\N,FTW_CTR
KCON,\N,\N,\N,\N,MHT_APP,BOS_CTR
KCOS,\N,COS_GND,COS_TWR,\N,COS_APP,DEN_CTR
KCOT,\N,\N,\N,\N,\N,HOU_CTR
KCOU,\N,\N,COU_TWR,\N,\N,\N
